,utterance,classes,prompt,bigscience/T0pp
468,i am experiencing difficulty providing my identity,"['providing identity', 'providing identity']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",i am experiencing difficulty providing my identity.
469,i a having trouble proving my identity,"['proving identity', 'proving identity']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",proving identity. idioms and phrases
470,how long will it take for my id to verify?,['verify d'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",verify d. xsip
471,why am i not able to verify my id?,"['verify d', 'verify d']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",verify d. <unk> vc
472,it doesn't let me verify my identity,"['verify identity', 'verify identity']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",verify identity :: idmatch
473,app doesnt think its me,['its app'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",its app. permalink. Yes?
474,why am i having trouble verifying my id?,"['verifying d', 'verifying d']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",verifying id e g
475,i am having issues with identity verification,"['having issues', 'identity verification', 'having verification']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",identity verification having issues.. i am having identity
476,the app won't let me log in as myself,['log app'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",app log in failure - google play services
477,why can't i verify my identity?,"['verify identity', 'verify identity']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",verify identity. wikipedia.org citation needed
478,why can't i verify my id?,"['verify d', 'verify d']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",verify d id? - quora
479,for some reason i am having a problem with verifying my identity,"['verifying identity', 'verifying identity']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",verifying identity. i need help!
480,what do i do with my card pin?,"['card pin', 'do pin']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",pin card pin.. bbq w/b ketchup and mustard
481,is the pin delivered separately?,['delivered pin'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","No, the pin is not delivered together with the magazine."
482,i do not have my pin,"['have pin', 'have pin']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",have pin? | xe.com
483,are pin separately?,['pin '],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",Pin separate items to the wall..
484,i cannot seem to find my pin where is it?,"['find pin', 'find pin']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",find pin..????.
485,how do i set-up my pin for the new card?,"['setup pin', 'new card', 'setup card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",new card setup card set up pin.
486,how do i find my card pin?,"['find pin', 'card pin', 'find pin']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",find pin card pin.. if you are looking for a debit card.
487,is my card pin saved in the app,"['card pin', 'saved app']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",stored app card pin.. -.-
488,i don't know where to look to find my pin,"['find pin', 'find pin']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",find pin. i don't know where to look to find my pin
489,where in the app can i find out about my new pin,"['new pin', 'find pin']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","find pin. i need to find out where it's at, so he has to tell me :)"
490,where in the app can i find my pin?,"['find pin', 'find pin']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",look at my pin. find my password
491,i just got my new card but am not sure how to check its pin,"['check pin', 'new card', 'check pin']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",new card check pin.. i just got my new cards
492,do i need a pin,"['need pin', 'need pin']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",need pin? i do nt know if it has one
493,if i need a pin for my card where is it located?,"['need pin', 'located card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",need pin located card?. wikipedia
494,what is my card pin,"['card pin', ' pin']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",pin card pin. html.png
495,and what about the card's pin?,[' pin'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",pin. cctv system
496,about this card pin?,"['card pin', ' pin']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",pin card pin????????????
497,i received my card but not my pin,"['received card', 'received pin']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",received card. i received my card but not my pin.
498,why can't i see my pin?,"['see pin', 'see pin']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",can't i see my pin?
499,what is the process for setting up a pin,"['setting pin', 'setting pin']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","setting pin..<unk> <unk>, ', pin"
500,does my pin come with my card?,['come card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",the pin comes with the card. and not alone
501,where can i find the card pin?,"['find pin', 'card pin', 'find pin']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",pin of card. wikipedia.org
502,why isn't my pin available yet?,[' pin'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","reason why pin is not available yet. ""
503,is my pin located on my account somewhere?,['located account'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",find my pin account. locate your pin
504,please help in finding my card pin thank you!,"['thank pin', 'card pin', 'thank pin']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",thank pin card pin.. i need you to help me find it!.
505,where is my pin number located?,"['pin number', 'located number']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",where is my pin number located? number.
506,i still don't have my pin,"['have pin', 'have pin']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",None of the above choices..........
507,so what about the card pin?,"['card pin', ' pin']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",pin card pin.. i like pin
508,i cannot locate the card pin,"['locate pin', 'card pin', 'locate pin']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",locate pin card pin.. i cannot locate the card
509,i need my pin,"['need pin', 'need pin']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",need pin.. <unk>file_photo>
510,where can i find my pin?,"['find pin', 'find pin']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",find pin... what was my pin?
511,when do i receive my pin,"['receive pin', 'receive pin']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",receive pin.................................. :-)
512,help me find my card pin!,"['find pin', 'card pin', 'find pin']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",pin card found in a drawer.
513,is pin delivered separately?,['delivered pin'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",will be delivered pin. is pin delivered separately
